x,z,y
Support multiple simultaneous LR schedulers,"A solution was implemented in #26423. Closing this PR, please feel free to re-open if needed.",This issue has been fixed
Want RTX 2080ti Support!!! RuntimeError: cublas runtime error : the GPU program failed to execute at /opt/conda/,"We'll supply PyTorch binaries w/ CUDA 10 in the next release. For now you can build from source, as mentioned by @jendrikjoe",You need to build from source
Crash when reading pandas parquet file after importing pyTorch,uninstall the pyarrow installed by pip and then reinstall with conda works for me.,You need to uninstall the pyarrow installed by pip and then reinstall with conda
"RuntimeError: Only tuples, lists and Variables supported as JIT inputs, but got dict","Solved.Just change the output of your model from dict to list
",You need to change the output of your model from dict to list.
dataparallel not working on nvidia gpus and amd cpus,"I believe this is a duplicate of #1637. Specifically, see [this comment](https://github.com/pytorch/pytorch/issues/1637#issuecomment-338268158). I've had success on a threadripper machine by disabling IOMMU or changing the IOMMU setting to 'soft'.",It works fine on threadripper machine by disabling IOMMU or changing the IOMMU setting to 'soft'.
Matrix multiplication operator,this is now fixed in master\n,This issue has been fixed
Remove dampening from SGD,"Made default to 0.
fixed via 4eb12a2",This issue has been fixed
ImportError: No module named _C,@szagoruyko Could you please try opening torch in any directory other than repo's root? It's trying to load the `torch` dir instead of the python package and gives you this error.\n,You need to open torch in any directory other than repo's root
"Install Error, OSX 10.11.6, fresh miniconda install",i think that's because you have CC and CXX set\n,The error is because you have CC and CXX set
MaxUnpool2d segfaults for some configurations,"Probably fixed in #207. I can't reproduce it anymore, so I'm closing the issue.\n",This issue has been fixed
[legacy-nn] losses need to return tensors and not numbers,i dont think we should fix legacy-nn,legacy-nn should not be modified.
Optim API: per-layer learning rates etc.,"this is easily solved by gradient rescale function, specifying per-layer learning rate is actually more pain\n",this can be solved by gradient rescale function
Add logical AND/OR/NOT/XOR operations,Implemented in #342.,This issue has been fixed
Printing tensors is sometimes very slow,"I've reproduced this, looking into fixing it.\n",This issue has been fixed
numpy.__config__.show() for torch,This has been included in 29ea086 by @ezyang.,This issue has been fixed
Deterministic cudnn algorithms,Parallel data loader is now deterministic.\n,Parallel data loader is now deterministic.
torch dot function consistent with numpy,"This has been fixed via #1563 , if we consider that we should follow the behavior of numpy.matmul instead of numpy.dot, according to the thread pointed out by @ngimel.",This issue has been fixed
automatically assign attributes that are variable as parameters?,"@glample There's a very simple reason why we don't want people to save Variables as attributes - if they were created as a result of some computation, they will be kept around and they won't free the graph nodes preceding it.\n\nWe wanted to think of Modules as thin wrappers around functions that only hold some persistent state like parameters, never any temporary objects (this is handy e.g. for serialization - there's no need for `clearState()`, etc.).\n\nI agree it's quite a nice patter, but I'm not sure if we should allow this. @colesbury, any thoughts?\n",Variables are not saved as attributes since they will be kept around and they won't free the graph nodes preceding it.
embeddings layer with IntTensor / cuda.IntTensor inputs,This was added in #46758 and is now working just fine on master for dtype=torch.int.,This issue has been fixed
requirements.txt: cffi >= v1.4.0,Fixed in #161.,This issue has been fixed
More optimizers in torch.optim,"Yes, the we only have tests for legacy optim at the moment, and we recommend against using it (it's only for legacy.nn). Thanks for pointing out the naming, I'll change it. #5 is also incorrect, we probably checked it because we implemented trainers and datasets.\n\nTo train `torch.nn` networks you should use `torch.optim`. We're aware most algorithms are missing and we'll be implementing them sometime soon. Sorry for the delays.\n",They will be added soon
"error: ‘float* cblas_sgemm_alloc(CBLAS_IDENTIFIER, int, int, int)’ is deprecated caused by outdated MKL","This is oneapi-src/oneDNN#440. According to the MKL-DNN developers, this can occur if you're compiling against an outdated MKL library. Try updating your MKL.",You need to update your MKL.
How can i convert ‘at::Tensor’ to ‘const float*’ in libtorch?,`.data<float>()`,This can be done by `.data<float>()`
Bug in CosineAnnealingLR (division by zero),I've confirmed that reverting #14010 fixes the problem. I'm going to revert it for now and then investigate more.,This issue has been fixed
Incorrect behaviour of min() and argmin(),"@Markus-Goetz repasting my comment from #17738 (comment)

the only determinism we aim to have is hashed on device, and for CPU, single-threaded.
Even across different kinds of GPUs, all bets are off.

We cannot guarantee cross-device, cross-CPU-type determinism due to severe performance cliffs that'll result from such a constraint.

For example, to guarantee that we pick the first argmax (or argmin) element, we have to add an additional pass in our CUDA kernel to sort or order the results, which costs performance.

This is inconsistent with numpy's, Eigen's, C++ STL etc.

If you see, you have given examples of CPU kernels, where this is easy to guarantee without significant performance regression.","The behavior is consistent for CPU, but it maybe different for multi-GPUs"
[autodiff] Fix owning model used in `differentiate`,We seem to have agreed to leave this as is.,This issue cannot be resolved
Conv3d fail after curtain batch size,I can confirm this is now resolved!,This issue has been fixed.
[JIT] state[input] != State::Unknown ASSERT FAILED at /pytorch/torch/csrc/jit/passes/specialize_autogradzero.cpp:57,"@YashSinha1996\r\n\r\nI also have been working on pytorch-pretrained-BERT.\r\nI think that the error reported in this issue can be avoided by using reshape instead of contiguous and view. (But I'm not very sure because I'm a novice at pytorch.)\r\n\r\nThe modification could be\r\n```\r\n context_layer = torch.matmul(attention_probs, value_layer)\r\n- context_layer = context_layer.permute(0, 2, 1, 3).contiguous()\r\n+ context_layer = context_layer.permute(0, 2, 1, 3)\r\n new_context_layer_shape = context_layer.size()[:-2] + (self.all_head_size,)\r\n- context_layer = context_layer.view(*new_context_layer_shape)\r\n+ context_layer = context_layer.reshape(*new_context_layer_shape)\r\n return context_layer\r\n```\r\nin pytorch_pretrained_bert/modeling.py\r\n",This error can be avoided by using reshape instead of contiguous and view. 
librosa tests on Windows don't work,"I'm now fixing it with `conda install numba`, which will also install llvmlite.",Please use `conda install numba`
Batch Convolutional Layers - Similar to torch.bmm but for convolutional operators,"This looks addressed, so I'm going to close it. Feel free to reopen if I'm mistaken.",This issue has been fixed.
[jit] support general buffer mutation,"Okay, assigning `self.vector = u.data` works. Since `u` had a gradient, that meant that for subsequent passes `self.vector` had a gradient, which didn't work well.",This issue can be resolved by `self.vector = u.data` 
libtorch C++ library does not compile properly,@JerryShih Thanks! `export LD_LIBRARY_PATH=/home/bobw/pytorch/torch/lib/` (libiomp5.so dir) fixes it for me,Please set the variable `export LD_LIBRARY_PATH=/home/bobw/pytorch/torch/lib/` (libiomp5.so dir)
Excessive call to cudaGetDevice and cudaSetDevice,"@omry you don't even need to change PyTorch source code. You can just hot patch the CUDA functions to be no-ops:

https://gist.github.com/colesbury/b10069870419ca1fa9c3a2a8668edbe3

You'll see that outside the profiler the cudaGetDevice and cudaSetDevice functions do not affect performance. You can also use this under nvprof to avoid API tracing those functions.",Please use the hotfix here https://gist.github.com/colesbury/b10069870419ca1fa9c3a2a8668edbe3
[Tutorial]: Wrong example of Our Own Ring-Allreduce,"@rohan-varma How about the following code? I think it provides the same functionality and is easier to understand.\r\n```python\r\nsend_req = dist.isend(send_buff, right)\r\ndist.recv(recv_buff, left) # recv is a blocking operation.\r\naccum[:] += recv_buff[:]\r\nsend_buff[:] = recv_buff[:]\r\n```","The following example is better \r\n```python\r\nsend_req = dist.isend(send_buff, right)\r\ndist.recv(recv_buff, left) # recv is a blocking operation.\r\naccum[:] += recv_buff[:]\r\nsend_buff[:] = recv_buff[:]\r\n```"
the example program using libtorch is not linked against torch_cuda when USE_CUDA is ON,"I just found out that this issue could be solved by using the `/INCLUDE` switch. torch_cuda.dll contains the function signature `?warp_size@cuda@at@@YAHXZ` (`int __cdecl at::cuda::warp_size(void)`). So adding `/INCLUDE:\""?warp_size@cuda@at@@YAHXZ\""` to the linker flags will force the library/executable to link against `torch_cuda.dll`. What do you think, @ezyang ?\r\n\r\nReference:\r\nhttps://docs.microsoft.com/en-us/cpp/build/reference/include-force-symbol-references?view=vs-2019",This issue could be solved by using the `/INCLUDE` switch
PytorchStreamReader failed reading zip archive: failed finding central directory (no backtrace available),"In my case, this error was caused by a corrupted saved file. So I switch to older checkpoints and the problem is gone.",Switching to older checkpoints can fix the problem
test_conv_transposed_large_cuda failed on Windows,The failure is seen in CI.,The failure is seen in CI.
[docs] torch.onnx.export docs contains two descriptions for example_outputs arg,Fixed in #31826,This issue has been fixed.
The Feature Request of Loading Quantized TorchScript Model on Windows with libtorch,"Closing it because the original issue should be resolved. If users want 32-bit quantization support, they can open a new issue.",This issue has been fixed.
Pip torch_nightly on macOS installs wrong build,"I believe this should now be resolved for `macOS`:\r\n\r\n```\r\npytorch37 ❯ pip install --pre torch -f https://download.pytorch.org/whl/nightly/cpu/torch_nightly.html\r\nLooking in links: https://download.pytorch.org/whl/nightly/cpu/torch_nightly.html\r\nCollecting torch\r\n Downloading https://download.pytorch.org/whl/nightly/cpu/torch-1.5.0.dev20200110-cp37-none-macosx_10_9_x86_64.whl (82.4MB)\r\n```\r\n\r\nNot entirely sure about where we are on windows nightly builds though, cc @peterjc123",This issue has been fixed
how to set cuda stream by call Aten function,"1. CUDAStreamGuard will reset the stream to the previously used stream once it goes out of scope, if instead you are using stream manually, you may forget to change it back, thus unexpectedly changing current stream for the user. \r\n2. Using setCurrentCUDAStream won't influence operations running on other streams. You need to make sure though that the default stream is synchronized with the stream your operation is running on. In many cases, using concurrent streams does not provide appreciable benefits.","1. CUDAStreamGuard will reset the stream to the previously used stream once it goes out of scope, if instead you are using stream manually, you may forget to change it back, thus unexpectedly changing current stream for the user. \r\n2. Using setCurrentCUDAStream won't influence operations running on other streams. You need to make sure though that the default stream is synchronized with the stream your operation is running on. In many cases, using concurrent streams does not provide appreciable benefits."
`enable_grad` context doesn't work as expected in backward function of torch.autograd.Function,"Thanks for the report, I will take a look why this happens. It might simply be that we don't restore the status in `autograd.grad` properly.",This error is because we don't restore the status in `autograd.grad` properly.
dyld: Library not loaded: /usr/local/opt/openssl/lib/libssl.1.0.0.dylib Referenced from: /usr/local/bin/sccache,"For posterity this is what CircleCI responded with:\r\n\r\n----\r\n\r\nWe have looked into this issue and have found that this is being caused by a dependency conflict.\r\n\r\nTo install libomp requires the following dependencies (taken from the build log):\r\n\r\n==> Installing dependencies for libomp: pkg-config, gdbm, openssl@1.1, readline, sqlite, xz, python, sphinx-doc and cmake\r\nThis package is specifically installing OpenSSL 1.1 and higher. When homebrew installs OpenSSL, it will change the symlinks in \r\n/usr/local/opt/openssl/ to point to the latest version (which truly resides in \r\n/usr/local/opt/openssl@1.1). This in turns means the file \r\n/usr/local/opt/openssl/lib/libssl.1.0.0.dylib is no longer in that directory as it has been replaced by \r\nlibssl.1.1.dylib.\r\n\r\nThe previous version of OpenSSL (1.0) can be found in \r\n/usr/local/opt/openssl@1.0/ which is where the previous version of the dylib, which is trying to be used, can be found (libssl.1.0.0.dylib).\r\n\r\nYour script seems to be using something that is trying to specifically use this version of the dylib. Best practise would be to instead use \r\n/usr/local/opt/openssl/lib/libssl.dylib which will always point to the latest version of openssl as it is not requesting a specific version. You may need to check the dependencies of the packages you are using and make sure to pin specific versions of these packages to prevent this kind of conflict.\r\n\r\nDo you know if any packages you use have been updated recently?",You may need to check the dependencies of the packages you are using and make sure to pin specific versions of these packages to prevent this kind of conflict.
Distributed Using Gloo on Multiple Nodes Does not Work,"I think that would create problems with the ranks. For worker_id 0, the ranks would be 0 and 1 and for worker_id 1 the ranks would be 1 and 2. Can you try with worker ids 0 and 2? Your ranks should be 0, 1, 2, 3 for world size 4.","Your ranks should be 0, 1, 2, 3 for world size 4."
The guidelines for loading a PyTorch model in C++ do not work on Windows,You'll need to copy the PDBs along with your executable.,You'll need to copy the PDBs along with your executable.
Fix 1.3.1 branch submodule fbjni dependency,"Now that this has stayed unchanged for longer and `v1.5.0` is out, moving the tag seems less needed and less attractive (EDIT: and it can always still be done in the future). \r\n\r\nI propose to close this - will do so next week unless someone disagrees.",This issue has been fixed.
Connection closed by peer when using L-BFGS and distributed computing (gloo),"Excellent!

It should be possible to come up with an optimizer that is distributed-aware, where all these decisions are made globally instead of by a single machine. Then you can use it in a distributed setting, but will have to average losses, or pick one of the machines are the primary.","It should be possible to come up with an optimizer that is distributed-aware, where all these decisions are made globally instead of by a single machine. Then you can use it in a distributed setting, but will have to average losses, or pick one of the machines are the primary."
"`torch.Size` is tranfered to`torch.Tensor`, values don't equal",`torch.Tensor(shape)` creates an empty tensor of shape `shape`. Don't use deprecated uppercase `Tensor`. Use `torch.tensor(shape)` to create a tensor containing the same value as `shape`.,`torch.Tensor(shape)` creates an empty tensor of shape `shape`. Don't use deprecated uppercase `Tensor`. Use `torch.tensor(shape)` to create a tensor containing the same value as `shape`.
"Why when I use torch.cuda.empty_cache(), it cost some gpu memory on other device?","@peterzpy see [here](https://discuss.pytorch.org/t/out-of-memory-when-i-use-torch-cuda-empty-cache/57898/3) and [here](https://github.com/pytorch/pytorch/issues/25752#issuecomment-528866347) for a solution. Basically, you need to specify the gpu device, before calling to `empty_cache`.","You need to specify the gpu device, before calling to `empty_cache`."
