x,z
Support multiple simultaneous LR schedulers,"A solution was implemented in #26423. Closing this PR, please feel free to re-open if needed."
Want RTX 2080ti Support!!! RuntimeError: cublas runtime error : the GPU program failed to execute at /opt/conda/,"We'll supply PyTorch binaries w/ CUDA 10 in the next release. For now you can build from source, as mentioned by @jendrikjoe"
Crash when reading pandas parquet file after importing pyTorch,uninstall the pyarrow installed by pip and then reinstall with conda works for me.
"RuntimeError: Only tuples, lists and Variables supported as JIT inputs, but got dict","Solved.Just change the output of your model from dict to list
"
dataparallel not working on nvidia gpus and amd cpus,"I believe this is a duplicate of #1637. Specifically, see [this comment](https://github.com/pytorch/pytorch/issues/1637#issuecomment-338268158). I've had success on a threadripper machine by disabling IOMMU or changing the IOMMU setting to 'soft'."
[perf] Reduce tensor & aten overhead,9 days later the timings for JIT lstms as well as aten lstms [look better now](https://gist.github.com/zou3519/83a2169731b3f1ec4b9bd9d259b010b2) and the difference is stable. Good to see that we're moving in the right direction
Matrix multiplication operator,this is now fixed in master\n
PEP8,"Can we get rid of \""import *\"" statements as well? Not PEP8 but lots of people seem annoyed at it.\n\nhttp://stackoverflow.com/questions/2386714/why-is-import-bad\n"
Remove dampening from SGD,"Made default to 0.
fixed via 4eb12a2"
ImportError: No module named _C,@szagoruyko Could you please try opening torch in any directory other than repo's root? It's trying to load the `torch` dir instead of the python package and gives you this error.\n
"Install Error, OSX 10.11.6, fresh miniconda install",i think that's because you have CC and CXX set\n
MaxUnpool2d segfaults for some configurations,"Probably fixed in #207. I can't reproduce it anymore, so I'm closing the issue.\n"
"Add an keyword argument \""device\"" to torch.cuda.XXXTensor","I think `y = x.type('torch.cuda.FloatTensor', device=3)` doesn't make sense, since the type conversions are now separate from device changes. But I agree that we should accept a device argument inside a tensor constructor 👍 We can implement this in Python.\n"
[legacy-nn] losses need to return tensors and not numbers,i dont think we should fix legacy-nn
Optim API: per-layer learning rates etc.,"this is easily solved by gradient rescale function, specifying per-layer learning rate is actually more pain\n"
Containers should allow module assignments,"We may want to prefer this syntax (in examples and docs) instead of the current keyword arguments in the constructor. \n\nFor example:\n\n``` python\nclass MyNetwork(nn.Container):\n def __init__(self):\n super(nn.Container, self).__init__()\n self.l1 = nn.Linear(5, 10)\n self.l2 = nn.Linear(10, 20)\n```\n\ninstead of:\n\n``` python\nclass MyNetwork(nn.Container):\n def __init__(self):\n super(nn.Container, self).__init__(\n l1=nn.Linear(5, 10),\n l2=nn.Linear(10, 20),\n )\n```\n\nOne advantage is that the order of module iteration would match the order of assignment, which is not true for the constructor syntax (except in the upcoming Python 3.6)\n"
Add logical AND/OR/NOT/XOR operations,Implemented in #342.
Printing tensors is sometimes very slow,"I've reproduced this, looking into fixing it.\n"
numpy.__config__.show() for torch,This has been included in 29ea086 by @ezyang.
Deterministic cudnn algorithms,Parallel data loader is now deterministic.\n
torch dot function consistent with numpy,"This has been fixed via #1563 , if we consider that we should follow the behavior of numpy.matmul instead of numpy.dot, according to the thread pointed out by @ngimel."
automatically assign attributes that are variable as parameters?,"@glample There's a very simple reason why we don't want people to save Variables as attributes - if they were created as a result of some computation, they will be kept around and they won't free the graph nodes preceding it.\n\nWe wanted to think of Modules as thin wrappers around functions that only hold some persistent state like parameters, never any temporary objects (this is handy e.g. for serialization - there's no need for `clearState()`, etc.).\n\nI agree it's quite a nice patter, but I'm not sure if we should allow this. @colesbury, any thoughts?\n"
embeddings layer with IntTensor / cuda.IntTensor inputs,This was added in #46758 and is now working just fine on master for dtype=torch.int.
requirements.txt: cffi >= v1.4.0,Fixed in #161.
More optimizers in torch.optim,"Yes, the we only have tests for legacy optim at the moment, and we recommend against using it (it's only for legacy.nn). Thanks for pointing out the naming, I'll change it. #5 is also incorrect, we probably checked it because we implemented trainers and datasets.\n\nTo train `torch.nn` networks you should use `torch.optim`. We're aware most algorithms are missing and we'll be implementing them sometime soon. Sorry for the delays.\n"
"error: ‘float* cblas_sgemm_alloc(CBLAS_IDENTIFIER, int, int, int)’ is deprecated caused by outdated MKL","This is oneapi-src/oneDNN#440. According to the MKL-DNN developers, this can occur if you're compiling against an outdated MKL library. Try updating your MKL."
Check that outputs and grad_outputs have same shape in torch.autograd.grad(),"This looks like a good idea, as it will help narrow down the problem in the case of unmatched shapes. The documentation for _torch.autograd.grad_ says, \r\n\r\n> grad_outputs should be a sequence of length matching output containing the pre-computed gradients w.r.t. each of the outputs.\r\n\r\nSo, you're right, they should be the same shape (Except when grad_outputs = None). I'd be happy to work on implementing this feature."
How can i convert ‘at::Tensor’ to ‘const float*’ in libtorch?,`.data<float>()`
Bug in CosineAnnealingLR (division by zero),I've confirmed that reverting #14010 fixes the problem. I'm going to revert it for now and then investigate more.
Incorrect behaviour of min() and argmin(),"@Markus-Goetz repasting my comment from #17738 (comment)

the only determinism we aim to have is hashed on device, and for CPU, single-threaded.
Even across different kinds of GPUs, all bets are off.

We cannot guarantee cross-device, cross-CPU-type determinism due to severe performance cliffs that'll result from such a constraint.

For example, to guarantee that we pick the first argmax (or argmin) element, we have to add an additional pass in our CUDA kernel to sort or order the results, which costs performance.

This is inconsistent with numpy's, Eigen's, C++ STL etc.

If you see, you have given examples of CPU kernels, where this is easy to guarantee without significant performance regression."
Allow ONNX export of Softmax with dim != -1 (including Softmax2d),This is very useful for sequence models in the BCT format. Currently export of log_softmax with dim=1 fails.
[autodiff] Fix owning model used in `differentiate`,We seem to have agreed to leave this as is.
Conv3d fail after curtain batch size,I can confirm this is now resolved!
[JIT] state[input] != State::Unknown ASSERT FAILED at /pytorch/torch/csrc/jit/passes/specialize_autogradzero.cpp:57,"@YashSinha1996\r\n\r\nI also have been working on pytorch-pretrained-BERT.\r\nI think that the error reported in this issue can be avoided by using reshape instead of contiguous and view. (But I'm not very sure because I'm a novice at pytorch.)\r\n\r\nThe modification could be\r\n```\r\n context_layer = torch.matmul(attention_probs, value_layer)\r\n- context_layer = context_layer.permute(0, 2, 1, 3).contiguous()\r\n+ context_layer = context_layer.permute(0, 2, 1, 3)\r\n new_context_layer_shape = context_layer.size()[:-2] + (self.all_head_size,)\r\n- context_layer = context_layer.view(*new_context_layer_shape)\r\n+ context_layer = context_layer.reshape(*new_context_layer_shape)\r\n return context_layer\r\n```\r\nin pytorch_pretrained_bert/modeling.py\r\n"
librosa tests on Windows don't work,"I'm now fixing it with `conda install numba`, which will also install llvmlite."
Batch Convolutional Layers - Similar to torch.bmm but for convolutional operators,"This looks addressed, so I'm going to close it. Feel free to reopen if I'm mistaken."
[jit] support general buffer mutation,"Okay, assigning `self.vector = u.data` works. Since `u` had a gradient, that meant that for subsequent passes `self.vector` had a gradient, which didn't work well."
libtorch C++ library does not compile properly,@JerryShih Thanks! `export LD_LIBRARY_PATH=/home/bobw/pytorch/torch/lib/` (libiomp5.so dir) fixes it for me
Excessive call to cudaGetDevice and cudaSetDevice,"@omry you don't even need to change PyTorch source code. You can just hot patch the CUDA functions to be no-ops:

https://gist.github.com/colesbury/b10069870419ca1fa9c3a2a8668edbe3

You'll see that outside the profiler the cudaGetDevice and cudaSetDevice functions do not affect performance. You can also use this under nvprof to avoid API tracing those functions."
[Tutorial]: Wrong example of Our Own Ring-Allreduce,"@rohan-varma How about the following code? I think it provides the same functionality and is easier to understand.\r\n```python\r\nsend_req = dist.isend(send_buff, right)\r\ndist.recv(recv_buff, left) # recv is a blocking operation.\r\naccum[:] += recv_buff[:]\r\nsend_buff[:] = recv_buff[:]\r\n```"
the example program using libtorch is not linked against torch_cuda when USE_CUDA is ON,"I just found out that this issue could be solved by using the `/INCLUDE` switch. torch_cuda.dll contains the function signature `?warp_size@cuda@at@@YAHXZ` (`int __cdecl at::cuda::warp_size(void)`). So adding `/INCLUDE:\""?warp_size@cuda@at@@YAHXZ\""` to the linker flags will force the library/executable to link against `torch_cuda.dll`. What do you think, @ezyang ?\r\n\r\nReference:\r\nhttps://docs.microsoft.com/en-us/cpp/build/reference/include-force-symbol-references?view=vs-2019"
PytorchStreamReader failed reading zip archive: failed finding central directory (no backtrace available),"In my case, this error was caused by a corrupted saved file. So I switch to older checkpoints and the problem is gone."
nelements is not jitable,"Thanks for issue! This is more generally covered by https://github.com/pytorch/pytorch/issues/30774, so I'm going to close this one. FWIW, full list of unsupported ops is [here](https://pytorch.org/docs/master/jit_unsupported.html), and each section has an outstanding issue to cover it."
About torch.poisson,"Thank you for reporting this bug. This function is not documented, most likely it returns a value sampled according to poisson distribution with the parameter given by the input. \r\n@vishwakftw can you please submit a PR to document this function, if you know what it's doing?"
test_conv_transposed_large_cuda failed on Windows,The failure is seen in CI.
[docs] torch.onnx.export docs contains two descriptions for example_outputs arg,Fixed in #31826
The Feature Request of Loading Quantized TorchScript Model on Windows with libtorch,"Closing it because the original issue should be resolved. If users want 32-bit quantization support, they can open a new issue."
Pip torch_nightly on macOS installs wrong build,"I believe this should now be resolved for `macOS`:\r\n\r\n```\r\npytorch37 ❯ pip install --pre torch -f https://download.pytorch.org/whl/nightly/cpu/torch_nightly.html\r\nLooking in links: https://download.pytorch.org/whl/nightly/cpu/torch_nightly.html\r\nCollecting torch\r\n Downloading https://download.pytorch.org/whl/nightly/cpu/torch-1.5.0.dev20200110-cp37-none-macosx_10_9_x86_64.whl (82.4MB)\r\n```\r\n\r\nNot entirely sure about where we are on windows nightly builds though, cc @peterjc123"
